Total CO2 (kg),12426323.49
Total NOX (kg),74331.96
Total Distance Flown (km),645213105.27

Top 15 Departure Airports by CO2 Emissions:
Dep,CO2,NOX
Unknown,1401923.451870815,8705.15781026529
Istanbul,741970.7643793835,4646.882887989478
Paris,659567.4559733492,4222.691696671643
London,657785.0772822575,4151.836246267471
 Frankfurt,470642.7817817066,2719.546823417814
Amsterdam,460728.5069826069,2889.566918490783
Madrid,271136.86223520664,1476.1210893241423
Dubai,247833.66011362866,1864.486437186715
Doha,214534.003086959,1595.4069637043801
New York,199367.48729844377,1308.5576695941788
Brussels,190139.2453937883,1081.7813981638585
Milan,189491.47935372213,1151.2915143460148
Seoul,151728.15981956615,1125.742300012959
Lisbon,145491.43654547745,744.2809149351228
Leipzig,140887.77889666214,928.5931423955761
Athens,136421.18473878532,823.2282226563128
Barcelona,123888.42876472976,721.1859286724318
Chicago,121355.38713775203,752.4383954936142
Zurich,117924.36992554579,743.7830402868565
Tokyo,107448.05460762861,751.6290252384056
Hawthorne,94425.94580705777,634.0772693505661
Mallorca Island,90160.52198630631,491.33283507870306
Rome,86950.06146839837,487.47372968406296
Munich,86595.97332288473,445.16439521289084
Copenhagen,84574.83450326396,491.6904063732362
Singapore,84454.8042357317,500.5675669265291
Hong Kong,83356.58232944293,588.657734722333
Sao Paulo,80351.88049793667,533.1728722020044
Liege,78470.47417610054,467.9849975784366
Vienna,77811.71678358185,428.31758139409374
Bangkok,75523.71700968871,543.9837960873288
Moscow,70748.52823598468,402.1521630537937
Atlanta,70203.10524224541,372.8795695011238
Miami,70142.1378423341,418.45871800926693
Cologne,69838.73802847222,340.0642361345681
Kyiv,68682.3115657458,353.5577404254292
Warsaw,66084.10004668543,339.8965390766344
Dublin,64711.70873423688,368.34339269733067
Luxembourg,58184.88791313261,334.02852449531946
Stockholm,56430.012852839995,298.758741780246
Malaga,56239.894763159034,297.1671590207552
Dusseldorf,55433.35880083513,301.7417037358042
Mississauga,54923.74698637168,364.5702476838192
Tel Aviv,53475.30698556018,283.2804314287568
Berlin,53423.88737012368,273.5016028595462
Newark,50305.383499993,278.3716117268892
Porto,44121.865686359655,233.51374547332054
Manchester,42182.84531505866,241.5761862452779
Alicante,41857.13874831018,220.54203805425757
Heraklion,41319.01339155238,218.2854951676346

Emissions by Haul Type (CO2, NOX, Distance (km)):
Haul,CO2,NOX,Distance (km)
Long-haul flight,7308756.39003336,46734.2904857029,331504563.089
Medium-haul flight,2530212.3195482343,13404.89199222201,168577314.796
Short-haul flight,2587354.7764672735,14192.780829400868,145131227.384

Emissions by Aircraft Type:
Plane,CO2,NOX,Distance (km),Avg Flight Time (min)
b77w,3833609.35692578,30077.47360617507,89774501.975,467.83474328768466
b738,1957402.039152547,10749.104736318048,127900837.229,133.01465436358856
a333,957267.2491426298,5145.286500448407,35461324.396,391.0394882434302
a320,946794.9030565871,5200.29655333849,64302440.765,113.76281773443496
a20n,866234.7510598308,4147.64303527997,54263663.903,129.8839221305621
a332,606561.2882206112,3257.540358563616,22018604.213,272.6087580128205
a359,558527.5575513651,2398.7591158953196,34657452.629,519.26826640899
b789,546305.657932779,2441.8372987681514,45831666.804,493.14092053218263
b772,423256.7035909252,3350.7743390635364,12830507.478,485.30619123647335
a321,356351.8486989839,2612.397790342962,16706284.952,121.20546161784551
a319,345247.0189127332,1386.3795214610723,28336451.21,97.21935648560404
b752,169823.1220534117,417.3146169243667,17370631.679,176.41056910569105
e190,148388.37498224975,633.4006097565612,11570617.663,94.41707803330245
b734,116616.57773126938,521.5363227377214,7446259.005,92.68654064272212
b744,103824.23766913985,199.3303409508992,18912390.926,390.94167155138723
b737,102716.1875995389,569.4717201541861,6719556.561,105.80317243731878
e195,94920.65093120052,439.5555616813178,6050897.623,88.29402566750258
b748,70831.37871075129,105.41588663025645,9577274.021,417.0194427115824
b788,67358.63117771602,254.97110933811788,24138825.834,411.866851628468
a343,54209.5021674538,127.21984526421643,5780391.845,483.79179133103185
c550,50674.36533266182,137.22857741708245,1245203.659,83.75077071290943
e75l,23556.964693032325,86.76190161843844,2142016.822,86.22502912621358
a388,16903.746383646703,36.64150118943153,1462325.256,396.34344569288385
glf6,8941.37237202326,35.62245800854216,712978.821,186.3788888888889
