EurocontrolID,Plane,Dep,Arr,Dep(start-coordinates),Arr(end-coordinates),CO2,NOX,Time,Distance,Haul,Start-Date,End-date
242221056,b752,Nottingham,Landskrona,"[-1.32778, 52.83111]","[12.65611, 55.61806]",11.170882104648593,0.028131132164666634,5380.0,1026575.0,Long-haul flight,16-12-2020 02:12:00,16-12-2020 03:41:40
242221058,b752,Nottingham,Cameri,"[-1.32778, 52.83111]","[8.72306, 45.63]",13.522259584312467,0.034354789158113186,6472.0,1213944.0,Long-haul flight,16-12-2020 02:18:00,16-12-2020 04:05:52
242221061,b77w,New York,London,"[-73.77833, 40.64028]","[-0.46139, 51.4775]",223.79061222548208,1.801721235818133,23394.0,5675402.0,Long-haul flight,16-12-2020 02:22:00,16-12-2020 08:51:54
242221062,b734,Maastricht,Vangso,"[5.44278, 50.63639]","[17.91861, 59.65195]",15.301979275732569,0.059029830612468054,6943.0,1347905.0,Long-haul flight,16-12-2020 03:08:00,16-12-2020 05:03:43
242221063,b77w,Shanghai,Pontoise,"[121.78333, 31.13333]","[2.54778, 49.00972]",482.8397147894871,3.865944008412444,45891.0,9544485.0,Long-haul flight,16-12-2020 03:12:00,16-12-2020 15:56:51
242221065,b77w,Lima,Pontoise,"[-77.11667, -12.01667]","[2.54778, 49.00972]",435.1323400751456,3.4376249220089994,41983.0,10513909.0,Long-haul flight,16-12-2020 02:25:00,16-12-2020 14:04:43
242221066,b752,nan,nan,"[7.14278, 50.86583]","[13.50056, 52.36222]",10.719925603468768,0.032062226919602005,3872.0,487728.0,Long-haul flight,16-12-2020 03:28:00,16-12-2020 04:32:32
242221067,a332,Cairo,Les Moeres,"[31.41389, 30.11139]","[2.86222, 51.19889]",91.5777585253993,0.4787502577188794,16315.0,3357847.0,Long-haul flight,16-12-2020 03:53:24,16-12-2020 08:25:19
242221068,b734,nan,Moscow,"[7.14278, 50.86583]","[37.27306, 55.59917]",28.614452363369512,0.1222687202660109,10725.0,2084906.0,Long-haul flight,16-12-2020 03:30:00,16-12-2020 06:28:45
242221069,b77w,Istanbul,Wiesbaden,"[28.81417, 40.97611]","[8.57056, 50.03333]",101.27225993227418,0.8154888699965823,9862.0,1905884.0,Long-haul flight,16-12-2020 03:28:00,16-12-2020 06:12:22
242221070,b738,Tel Aviv,Istanbul,"[34.88556, 32.00945]","[29.30917, 40.89833]",20.326811539853672,0.10950961377535849,6780.0,1274249.0,Long-haul flight,16-12-2020 03:20:00,16-12-2020 05:13:00
242221071,a333,Seoul,Den Helder,"[126.43917, 37.4625]","[4.76417, 52.30806]",267.2214268570245,1.4426652744897603,43710.0,8881718.0,Long-haul flight,16-12-2020 03:46:00,16-12-2020 15:54:30
242221072,a20n,Tel Aviv,Wiesbaden,"[34.88556, 32.00945]","[8.57056, 50.03333]",46.32512858020066,0.20999305896131876,16116.0,3110899.0,Long-haul flight,16-12-2020 03:48:00,16-12-2020 08:16:36
242221073,b738,Maastricht,nan,"[5.44278, 50.63639]","[9.68361, 52.46028]",8.262009761175014,0.049580229754238064,2735.0,432659.0,Long-haul flight,16-12-2020 03:45:00,16-12-2020 04:30:35
242221074,b789,Lambertville,Roma,"[-74.16833, 40.69667]","[12.23889, 41.80028]",83.6971261072251,0.40750846337860636,27840.0,7140935.0,Long-haul flight,16-12-2020 04:40:00,16-12-2020 12:24:00
242221075,a20n,Praia,nan,"[-23.48472, 14.94111]","[-9.13417, 38.77417]",41.66750020742039,0.19296543804100696,14883.0,3079743.0,Long-haul flight,16-12-2020 03:52:00,16-12-2020 08:00:03
242221077,b738,nan,Aleppo,"[27.155, 38.28917]","[37.47889, 36.94778]",16.77015004739529,0.10159215709185417,5637.0,986648.0,Short-haul flight,16-12-2020 04:06:00,16-12-2020 05:39:57
242221079,e190,Pontoise,Bjelovar,"[2.54778, 49.00972]","[16.06889, 45.74306]",16.287559327103367,0.07417182663036935,6678.0,1110108.0,Long-haul flight,16-12-2020 09:12:00,16-12-2020 11:03:18
242221083,b737,Ulven,Stavanger,"[5.21806, 60.29361]","[5.63778, 58.87667]",6.156752905198513,0.042773372574924355,1953.0,164614.0,Long-haul flight,16-12-2020 08:59:00,16-12-2020 09:31:33
242221084,e75l,Den Helder,Wiesbaden,"[4.76417, 52.30806]","[8.57056, 50.03333]",6.396807868408478,0.025786570222752218,3374.0,407739.0,Long-haul flight,16-12-2020 08:59:23,16-12-2020 09:55:37
242221085,b738,Istanbul,nan,"[29.30917, 40.89833]","[11.78611, 48.35389]",30.00003158981245,0.17155467247573164,9750.0,1689827.0,Long-haul flight,16-12-2020 08:39:00,16-12-2020 11:21:30
242221091,b738,Wiesbaden,Lanzarote Island,"[8.57056, 50.03333]","[-13.60528, 28.94556]",43.745410568073986,0.22176775768796958,15327.0,3147839.0,Long-haul flight,16-12-2020 09:29:00,16-12-2020 13:44:27
242221097,b789,Den Helder,Moshi,"[4.76417, 52.30806]","[37.07222, -3.42778]",79.1603496821828,0.3288535304186663,29286.0,7066301.0,Long-haul flight,16-12-2020 09:21:00,16-12-2020 17:29:06
242221103,b738,Istanbul,Mardin,"[29.30917, 40.89833]","[40.64056, 37.23278]",22.17867428049887,0.1353340889811753,6480.0,1090037.0,Short-haul flight,16-12-2020 09:13:00,16-12-2020 11:01:00
242221106,a320,nan,nan,"[-9.13417, 38.77417]","[6.10945, 46.23833]",20.240254860461594,0.1033891611430684,8086.0,1619664.0,Long-haul flight,16-12-2020 09:28:00,16-12-2020 11:42:46
242221108,b738,Madrid,Mallorca Island,"[-3.56083, 40.47222]","[2.73889, 39.55167]",12.22108821828007,0.07396262753218191,4081.0,643760.0,Long-haul flight,16-12-2020 09:26:00,16-12-2020 10:34:01
242221109,a20n,London,Wiesbaden,"[-0.46139, 51.4775]","[8.57056, 50.03333]",14.942705261074762,0.07711942815514318,4468.0,659556.0,Long-haul flight,16-12-2020 09:38:00,16-12-2020 10:52:28
242221111,a319,Milan,Lamezia Terme,"[9.27833, 45.44945]","[16.24167, 38.90833]",11.995041374966506,0.049824555189541,5309.0,943455.0,Long-haul flight,16-12-2020 09:37:00,16-12-2020 11:05:29
242221112,b738,nan,Van,"[27.155, 38.28917]","[43.33222, 38.46806]",23.666830861072967,0.1356797278708971,7680.0,1439287.0,Long-haul flight,16-12-2020 09:29:00,16-12-2020 11:37:00
242221113,e190,Pontoise,Sofia,"[2.54778, 49.00972]","[23.40833, 42.695]",21.695026501647266,0.09180580326159639,9530.0,1850429.0,Long-haul flight,16-12-2020 09:50:00,16-12-2020 12:28:50
242221114,a319,Wiesbaden,Chișinău,"[8.57056, 50.03333]","[28.93083, 46.92778]",17.082472478922615,0.06543283166782891,7980.0,1591587.0,Long-haul flight,16-12-2020 09:38:00,16-12-2020 11:51:00
242221115,a320,Istanbul,Igdir,"[28.75195, 41.27528]","[43.02861, 39.6475]",25.301690753413784,0.15149469464609897,7980.0,1329917.0,Short-haul flight,16-12-2020 09:11:00,16-12-2020 11:24:00
242221117,b788,Dzaoudzi,Pontoise,"[45.28333, -12.8]","[2.54778, 49.00972]",15.496362626300558,0.051559171020059656,35727.0,8361327.0,Long-haul flight,16-12-2020 09:53:52,16-12-2020 19:49:19
242221118,a320,Ponta Delgada,Maia,"[-25.69778, 37.74195]","[-8.67806, 41.23556]",18.04570971651106,0.09208706770409684,7514.0,1551186.0,Long-haul flight,16-12-2020 09:43:00,16-12-2020 11:48:14
242221120,b738,Wethersfield,Tenerife Island,"[0.235, 51.885]","[-16.5725, 28.04445]",44.55217588554402,0.23255699485921957,15921.0,3377692.0,Long-haul flight,16-12-2020 09:50:00,16-12-2020 14:15:21
242221122,b738,nan,Istanbul,"[9.22195, 48.69]","[28.75195, 41.27528]",24.743562843167535,0.12966786521095394,8880.0,1813642.0,Long-haul flight,16-12-2020 10:17:00,16-12-2020 12:45:00
242221125,b734,Sandersdorf,Svyatoshyn,"[12.23639, 51.42389]","[30.89333, 50.34472]",23.671455375784113,0.11189693221526233,7860.0,1400189.0,Long-haul flight,16-12-2020 04:11:00,16-12-2020 06:22:00
242221126,b752,Vellinge,nan,"[13.35333, 55.54833]","[11.08389, 60.20278]",9.372254535145048,0.02747746682501413,3534.0,539156.0,Long-haul flight,16-12-2020 04:22:00,16-12-2020 05:20:54
242221127,b789,Sylhet,London,"[91.85, 24.88333]","[-0.46139, 51.4775]",112.2894707822651,0.5048837947723652,39857.0,8536840.0,Long-haul flight,16-12-2020 05:14:00,16-12-2020 16:18:17
242221128,b788,Bang Pra,London,"[100.74722, 13.68111]","[-0.46139, 51.4775]",37.35786190267554,0.12457866275220034,45538.0,10031643.0,Long-haul flight,16-12-2020 04:11:00,16-12-2020 16:49:58
242221129,b77w,nan,Landskrona,"[55.36, 25.24917]","[12.65611, 55.61806]",245.30231439896892,2.0117759494467204,23537.0,5163755.0,Long-haul flight,16-12-2020 04:25:00,16-12-2020 10:57:17
242221131,b752,Sandersdorf,Roma,"[12.23639, 51.42389]","[12.59722, 41.79945]",17.550530291833606,0.04925183432754685,7046.0,1102109.0,Long-haul flight,16-12-2020 04:09:00,16-12-2020 06:06:26
242221132,b77w,Doha,Langenlebarn,"[51.60833, 25.27445]","[16.56972, 48.11028]",205.44853838806344,1.7165508883510248,18924.0,4117110.0,Long-haul flight,16-12-2020 04:40:00,16-12-2020 09:55:24
242221133,b77w,Catlett,Istanbul,"[-77.45667, 38.945]","[28.75195, 41.27528]",300.49182995049,2.2280619447163477,33120.0,8566413.0,Long-haul flight,16-12-2020 04:39:00,16-12-2020 13:51:00
242221139,b752,nan,nan,"[7.14278, 50.86583]","[67.20945, 36.70695]",27.883679302019768,0.055053098927389,22227.0,5238927.0,Long-haul flight,16-12-2020 04:11:00,16-12-2020 10:21:27
242221140,a321,Bucharest,Norrkoping,"[26.085, 44.57111]","[16.90361, 58.78861]",38.423244622053986,0.2816121219343656,9944.0,1792782.0,Long-haul flight,16-12-2020 04:26:00,16-12-2020 07:11:44
242221141,b77w,Shanghai,Den Helder,"[121.78333, 31.13333]","[4.76417, 52.30806]",440.29028638435796,3.4482907921449364,43420.0,9011025.0,Long-haul flight,16-12-2020 04:38:00,16-12-2020 16:41:40
242221143,b77w,nan,Ferrara,"[55.36, 25.24917]","[11.29695, 44.53083]",235.1285552263112,1.946854143323856,22198.0,4736946.0,Long-haul flight,16-12-2020 05:05:00,16-12-2020 11:14:58
