EurocontrolID,Plane,Dep,Arr,Dep(start-coordinates),Arr(end-coordinates),CO2,NOX,Time,Distance,Haul,Start-Date,End-date
239075345,b77w,Doha,London,"[25.27445, 51.60833]","[51.885, 0.235]",244.95700718201877,1.926834912442357,23963.0,5378560.0,Short-haul flight,06-03-2020 15:19:00,06-03-2020 21:58:23
239075346,b738,,,,,9.718527207296136,0.06197966264418531,3202.0,454332.0,Short-haul flight,06-03-2020 15:25:00,06-03-2020 16:18:22
239075347,a320,Brussels,Dublin,"[50.90139, 4.48445]","[53.42139, -6.27]",14.609029185495517,0.08535276971807601,5311.0,829156.0,Short-haul flight,06-03-2020 15:25:00,06-03-2020 16:53:31
239075349,b738,Edinburgh,Dublin,"[55.95, -3.3725]","[53.42139, -6.27]",9.674803665254158,0.06363706674603668,2917.0,363686.0,Short-haul flight,06-03-2020 15:22:00,06-03-2020 16:10:37
239075350,b738,Brussels,Dublin,"[50.90139, 4.48445]","[53.42139, -6.27]",16.96278858024659,0.10267395834763408,5687.0,836703.0,Short-haul flight,06-03-2020 15:29:00,06-03-2020 17:03:47
239075352,b738,Nuremberg,Budapest,"[49.49861, 11.07806]","[47.43945, 19.26195]",12.978934478569162,0.0801151944100386,4171.0,693642.0,Short-haul flight,06-03-2020 15:16:00,06-03-2020 16:25:31
239075353,b738,Barcelona,Berlin,"[41.29695, 2.07833]","[52.36222, 13.50056]",28.98000213252033,0.16992965673182328,9129.0,1698935.0,Short-haul flight,06-03-2020 16:25:00,06-03-2020 18:57:09
239075355,a319,Berlin,Cologne,"[52.55972, 13.28778]","[50.86583, 7.14278]",9.753608754892795,0.046236146906419626,4009.0,511264.0,Short-haul flight,06-03-2020 15:14:00,06-03-2020 16:20:49
239075356,b738,Eindhoven,Manchester,"[51.45, 5.37445]","[53.35389, -2.275]",12.750537812720015,0.07843039873005635,4388.0,653741.0,Short-haul flight,06-03-2020 15:20:00,06-03-2020 16:33:08
239075357,a20n,Stockholm,Manchester,"[59.65195, 17.91861]","[53.35389, -2.275]",25.516996095427103,0.12318395173189692,8506.0,1499590.0,Short-haul flight,06-03-2020 15:29:00,06-03-2020 17:50:46
239075358,a319,Nuremberg,Hamburg,"[49.49861, 11.07806]","[53.63028, 9.98833]",8.19752788924563,0.03591630608819845,3947.0,522958.0,Short-haul flight,06-03-2020 15:19:00,06-03-2020 16:24:47
239075359,a319,Nice,London,"[43.66528, 7.215]","[51.14806, -0.19028]",11.44713507495734,0.0452619598942779,6027.0,1050093.0,Short-haul flight,06-03-2020 15:32:12,06-03-2020 17:12:39
239075360,b789,Helsinki,Tokyo,"[60.31722, 24.96333]","[35.75833, 140.37833]",83.66578865100468,0.3259122904564004,32528.0,7878665.0,Short-haul flight,06-03-2020 15:22:00,07-03-2020 00:24:08
239075362,b772,London,Bangkok,"[51.4775, -0.46139]","[13.68111, 100.74722]",275.68717782575374,1.9449297000923154,39643.0,9933826.0,Short-haul flight,06-03-2020 15:30:00,07-03-2020 02:30:43
239075364,a332,Dublin,Hawthorne,"[53.42139, -6.27]","[33.95, -118.4]",214.0981807111361,0.9867591363147394,40524.0,8482121.0,Short-haul flight,06-03-2020 15:18:00,07-03-2020 02:33:24
239075365,a332,,,,,165.9295196756478,0.7952766376722318,30209.0,6891770.0,Short-haul flight,06-03-2020 15:46:00,07-03-2020 00:09:29
239075367,a333,Dublin,Miami,"[53.42139, -6.27]","[25.8, -80.28333]",195.31769912561222,0.971381303349778,34407.0,6958360.0,Short-haul flight,06-03-2020 15:31:00,07-03-2020 01:04:27
239075369,a320,Santorini Island,Athens,"[36.39917, 25.47917]","[37.93667, 23.94445]",4.960287720591275,0.02995303693676786,1988.0,260778.0,Short-haul flight,06-03-2020 15:23:00,06-03-2020 15:56:08
239075370,a321,Frankfurt am Main,Brussels,"[50.03333, 8.57056]","[50.90139, 4.48445]",14.208012570292043,0.11762954752603595,3274.0,369095.0,Short-haul flight,06-03-2020 15:25:00,06-03-2020 16:19:34
239075371,a319,Stockholm,Berlin,"[59.65195, 17.91861]","[52.36222, 13.50056]",11.350315309042728,0.046349381246720174,5680.0,907757.0,Short-haul flight,06-03-2020 15:22:25,06-03-2020 16:57:05
239075372,b738,Copenhagen,Brussels,"[55.61806, 12.65611]","[50.46, 4.45278]",15.440763420248173,0.09131104817947235,5260.0,838218.0,Short-haul flight,06-03-2020 15:15:00,06-03-2020 16:42:40
239075373,b738,Rotterdam,Innsbruck,"[51.95695, 4.43722]","[47.26028, 11.34389]",12.50862484090865,0.07094189183631051,4610.0,799705.0,Short-haul flight,06-03-2020 15:29:00,06-03-2020 16:45:50
239075375,e190,Rochefort,Lille/Lesquin,"[44.82861, -0.71528]","[50.56333, 3.08695]",9.750044631418687,0.040308819323121456,4648.0,766531.0,Short-haul flight,06-03-2020 15:42:00,06-03-2020 16:59:28
239075376,a320,Brussels,Berlin,"[50.90139, 4.48445]","[52.55972, 13.28778]",12.212641225385351,0.07619161169060318,4087.0,666279.0,Short-haul flight,06-03-2020 15:30:00,06-03-2020 16:38:07
239075378,a320,Zagreb,London,"[45.74306, 16.06889]","[51.4775, -0.46139]",22.29476630657275,0.11894756617986196,8171.0,1416117.0,Short-haul flight,06-03-2020 15:30:00,06-03-2020 17:46:11
239075379,a20n,London,Saint-Louis,"[51.4775, -0.46139]","[47.59, 7.52917]",18.7966250367643,0.09610372532799112,5508.0,823921.0,Short-haul flight,06-03-2020 15:44:00,06-03-2020 17:15:48
239075380,b738,Istanbul,Luqa,"[41.27528, 28.75195]","[35.8575, 14.4775]",28.309726993809715,0.16546804830645223,9031.0,1471396.0,Short-haul flight,06-03-2020 15:28:00,06-03-2020 17:58:31
239075381,a319,Geneva,London,"[46.23833, 6.10945]","[51.14806, -0.19028]",12.032037766557162,0.0509763800073123,5300.0,741277.0,Short-haul flight,06-03-2020 15:54:00,06-03-2020 17:22:20
239075385,a320,Dublin,London,"[53.42139, -6.27]","[51.4775, -0.46139]",13.587547008484504,0.0830325604161897,4210.0,550812.0,Short-haul flight,06-03-2020 15:39:00,06-03-2020 16:49:10
239075387,b738,Nice,London,"[43.66528, 7.215]","[51.885, 0.235]",19.770950104284534,0.10915195572022648,7062.0,1207583.0,Short-haul flight,06-03-2020 15:34:12,06-03-2020 17:31:54
239075388,a359,Helsinki,Seoul,"[60.31722, 24.96333]","[37.4625, 126.43917]",94.69227960304896,0.3835904616542246,28061.0,7283819.0,Short-haul flight,06-03-2020 15:33:00,06-03-2020 23:20:41
239075391,a320,Tel Aviv,Rome,"[32.00945, 34.88556]","[41.80028, 12.23889]",35.444111958296794,0.18906015244552402,12919.0,2322010.0,Short-haul flight,06-03-2020 15:09:00,06-03-2020 18:44:19
239075394,b77w,Istanbul,Mumbai,"[40.97611, 28.81417]","[19.09083, 72.83333]",183.6433299182715,1.408994343296813,19987.0,4912515.0,Short-haul flight,06-03-2020 15:11:00,06-03-2020 20:44:07
239075396,a320,Biarritz/Anglet/Bayonne,Paris,"[43.46833, -1.53111]","[48.72333, 2.37945]",12.76938223748029,0.07091528997243807,4767.0,730377.0,Short-haul flight,06-03-2020 15:30:00,06-03-2020 16:49:27
239075397,a320,Beirut,Istanbul,"[33.81917, 35.49]","[41.27528, 28.75195]",16.841505790183152,0.09053589942532823,6379.0,1146432.0,Short-haul flight,06-03-2020 15:22:41,06-03-2020 17:09:00
239075398,e195,Warsaw,Milan,"[52.16583, 20.96722]","[45.63, 8.72306]",19.406107332935612,0.08943497700620645,7196.0,1213522.0,Short-haul flight,06-03-2020 15:27:00,06-03-2020 17:26:56
239075399,a320,Riga,London,"[56.92361, 23.97111]","[51.87472, -0.36833]",23.34960323787683,0.11925434697125954,9202.0,1735502.0,Short-haul flight,06-03-2020 15:28:00,06-03-2020 18:01:22
239075400,b738,Gran Canaria Island,London,"[27.93195, -15.38667]","[51.14806, -0.19028]",45.16915832123936,0.2291583058797431,15638.0,2952981.0,Short-haul flight,06-03-2020 15:23:00,06-03-2020 19:43:38
239075401,a319,Budapest,Southend,"[47.43945, 19.26195]","[51.57028, 0.69333]",16.22236475303779,0.06216650161309561,8085.0,1479392.0,Short-haul flight,06-03-2020 15:27:48,06-03-2020 17:42:33
239075403,a320,London,Tangier,"[51.14806, -0.19028]","[35.73167, -5.92111]",29.03488076859737,0.1683804215315971,9707.0,1892013.0,Short-haul flight,06-03-2020 15:36:00,06-03-2020 18:17:47
239075404,a20n,Frankfurt am Main,Paris,"[50.03333, 8.57056]","[49.00972, 2.54778]",12.432736471115152,0.06359758877205748,3757.0,487283.0,Short-haul flight,06-03-2020 15:37:00,06-03-2020 16:39:37
239075407,a20n,London,Frankfurt am Main,"[51.4775, -0.46139]","[50.03333, 8.57056]",19.58210492845644,0.1031026211254779,5323.0,745904.0,Short-haul flight,06-03-2020 15:27:00,06-03-2020 16:55:43
239075408,a320,Dublin,Madrid,"[53.42139, -6.27]","[40.47222, -3.56083]",22.6703606927368,0.13163085442977185,7582.0,1616664.0,Short-haul flight,06-03-2020 15:35:00,06-03-2020 17:41:22
239075413,a20n,Stockholm,Lulea,"[59.65195, 17.91861]","[65.54333, 22.12361]",14.746455063627142,0.07404532200852909,4580.0,751866.0,Short-haul flight,06-03-2020 15:26:26,06-03-2020 16:42:46
239075414,a359,Doha,Paris,"[25.27445, 51.60833]","[49.00972, 2.54778]",74.84629712792683,0.29024580071418765,22385.0,5151050.0,Short-haul flight,06-03-2020 15:41:00,06-03-2020 21:54:05
239075418,a319,Paris,Toulouse/Blagnac,"[48.72333, 2.37945]","[43.635, 1.36778]",9.08589845792829,0.039654535625834715,4014.0,634052.0,Short-haul flight,06-03-2020 15:27:00,06-03-2020 16:33:54
239075420,a319,Copenhagen,London,"[55.61806, 12.65611]","[51.14806, -0.19028]",13.685744006188738,0.05432327865971191,6602.0,1049611.0,Short-haul flight,06-03-2020 15:42:00,06-03-2020 17:32:02
239075421,a320,Dusseldorf,Barcelona,"[51.28083, 6.75722]","[41.29695, 2.07833]",18.223143270573658,0.10138431893436206,6754.0,1275512.0,Short-haul flight,06-03-2020 15:30:00,06-03-2020 17:22:34
239075423,b738,Cairo,London,"[30.11139, 31.41389]","[51.4775, -0.46139]",54.739079258325106,0.28502156903985576,18308.0,3579287.0,Short-haul flight,06-03-2020 15:36:42,06-03-2020 20:41:50
239075424,b738,Istanbul,Douala,"[41.27528, 28.75195]","[4.01167, 9.70833]",72.19394606459105,0.36171091143591744,26030.0,5292122.0,Short-haul flight,06-03-2020 15:25:00,06-03-2020 22:38:50
239075425,c550,Vienna,Prague,"[48.11028, 16.56972]","[50.10083, 14.26]",16.33776068109978,0.04715044894534893,3131.0,309732.0,Short-haul flight,06-03-2020 15:39:00,06-03-2020 16:31:11
239075426,b772,London,Baltimore,"[51.4775, -0.46139]","[39.175, -76.66833]",238.59103882597702,2.0214352934251743,29240.0,5906627.0,Short-haul flight,06-03-2020 15:23:00,06-03-2020 23:30:20
239075427,a320,Vienna,Dusseldorf,"[48.11028, 16.56972]","[51.28083, 6.75722]",14.107976908312395,0.0820727597268557,5110.0,814538.0,Short-haul flight,06-03-2020 15:19:18,06-03-2020 16:44:28
239075433,a320,Frankfurt am Main,Toulouse/Blagnac,"[50.03333, 8.57056]","[43.635, 1.36778]",17.204482962715183,0.10080688584261713,5813.0,1001338.0,Short-haul flight,06-03-2020 15:36:00,06-03-2020 17:12:53
239075435,a320,Thessaloniki,Munich,"[40.51972, 22.97083]","[48.35389, 11.78611]",17.012262648827665,0.08966352863838066,6835.0,1263480.0,Short-haul flight,06-03-2020 15:26:00,06-03-2020 17:19:55
239075439,b738,Roma,Mallorca Island,"[41.79945, 12.59722]","[39.55167, 2.73889]",16.035671916296117,0.0910053633094469,5706.0,887166.0,Short-haul flight,06-03-2020 15:21:00,06-03-2020 16:56:06
239075440,b752,Kabul,Istanbul,"[34.51667, 69.2]","[40.89833, 29.30917]",37.78684852018451,0.0863988433187882,19080.0,3761699.0,Short-haul flight,06-03-2020 15:35:00,06-03-2020 20:53:00
239075441,a320,Moscow,Zurich,"[55.40861, 37.90639]","[47.45806, 8.54806]",30.980442710661038,0.15461044024222995,12028.0,2290269.0,Short-haul flight,06-03-2020 15:32:00,06-03-2020 18:52:28
239075442,b738,Pisa,Budapest,"[43.68278, 10.39556]","[47.43945, 19.26195]",13.164404036549888,0.07476764295840603,4728.0,860595.0,Short-haul flight,06-03-2020 15:36:00,06-03-2020 16:54:48
239075443,a319,Frankfurt am Main,Warsaw,"[50.03333, 8.57056]","[52.16583, 20.96722]",13.090528766419618,0.05446440837001803,5398.0,988360.0,Short-haul flight,06-03-2020 15:25:00,06-03-2020 16:54:58
239075444,a333,Istanbul,Kyiv,"[41.27528, 28.75195]","[50.34472, 30.89333]",55.540913058342966,0.4527145133234098,6825.0,1100685.0,Short-haul flight,06-03-2020 15:34:00,06-03-2020 17:27:45
239075448,a321,Madrid,Barcelona,"[40.47222, -3.56083]","[41.29695, 2.07833]",18.229923587120204,0.14619322764440879,4203.0,557635.0,Short-haul flight,06-03-2020 15:35:00,06-03-2020 16:45:03
239075449,b738,Athens,Warsaw,"[37.93667, 23.94445]","[52.45111, 20.65195]",26.70388999120103,0.14126394992944238,9298.0,1776114.0,Short-haul flight,06-03-2020 15:24:00,06-03-2020 17:58:58
239075450,a319,Brussels,Milan,"[50.90139, 4.48445]","[45.44945, 9.27833]",10.933511693282048,0.046745081634618504,4571.0,777607.0,Short-haul flight,06-03-2020 15:28:00,06-03-2020 16:44:11
239075454,a321,Frankfurt am Main,Moscow,"[50.03333, 8.57056]","[55.40861, 37.90639]",38.682189049916616,0.27906479900440717,9942.0,2118594.0,Short-haul flight,06-03-2020 15:31:00,06-03-2020 18:16:42
239075455,b738,Istanbul,Trabzon,"[40.89833, 29.30917]","[40.99583, 39.78528]",18.595642748734257,0.11505458679295405,5640.0,963894.0,Short-haul flight,06-03-2020 15:41:00,06-03-2020 17:15:00
239075456,b738,Madrid,Prague,"[40.47222, -3.56083]","[50.10083, 14.26]",30.039419245633674,0.16836375907413972,9879.0,1854350.0,Short-haul flight,06-03-2020 15:48:00,06-03-2020 18:32:39
239075457,a320,Thessaloniki,Stuttgart,"[40.51972, 22.97083]","[48.69, 9.22195]",19.032235309824976,0.09802566831330874,7603.0,1464486.0,Short-haul flight,06-03-2020 15:22:00,06-03-2020 17:28:43
239075459,b738,Porto,Berlin,"[41.23556, -8.67806]","[52.36222, 13.50056]",33.013440929828036,0.16905625940028002,11643.0,2185746.0,Short-haul flight,06-03-2020 15:25:00,06-03-2020 18:39:03
239075460,b738,Treviso,Berlin,"[45.65083, 12.19778]","[52.36222, 13.50056]",13.379059451387912,0.08024683551422265,4745.0,807744.0,Short-haul flight,06-03-2020 15:35:00,06-03-2020 16:54:05
239075462,a319,Frankfurt am Main,Marseille,"[50.03333, 8.57056]","[43.43667, 5.215]",12.916679860043654,0.056591068120141176,5479.0,862121.0,Short-haul flight,06-03-2020 15:45:58,06-03-2020 17:17:17
239075464,a319,Glasgow,London,"[55.87195, -4.43306]","[51.885, 0.235]",11.354315601088661,0.05221433068777987,4147.0,629778.0,Short-haul flight,06-03-2020 15:26:00,06-03-2020 16:35:07
239075465,a320,Istanbul,Ljubljana,"[41.27528, 28.75195]","[46.22445, 14.45611]",24.28009458940989,0.14378925749321267,8177.0,1280913.0,Short-haul flight,06-03-2020 15:34:00,06-03-2020 17:50:17
239075466,a320,Madrid,Tenerife Island,"[40.47222, -3.56083]","[28.48278, -16.34167]",24.697503300492787,0.12719897975046657,9346.0,1861590.0,Short-haul flight,06-03-2020 15:30:00,06-03-2020 18:05:46
239075468,e190,Warsaw,London,"[52.16583, 20.96722]","[51.50528, 0.05528]",18.487665879662167,0.07532492006282512,8563.0,1459111.0,Short-haul flight,06-03-2020 15:32:00,06-03-2020 17:54:43
239075469,a332,Rimini,Tehran,"[44.01945, 12.60945]","[35.41611, 51.15222]",89.84000396245386,0.46748863700836407,14648.0,3562565.0,Short-haul flight,06-03-2020 15:38:00,06-03-2020 19:42:08
239075470,a320,Venezia,London,"[45.50528, 12.35195]","[51.14806, -0.19028]",18.792864763948586,0.1017497055359071,7222.0,1265680.0,Short-haul flight,06-03-2020 15:29:00,06-03-2020 17:29:22
239075471,b752,Milan,Liege,"[45.63, 8.72306]","[50.63639, 5.44278]",11.25945206864068,0.03264217064185934,4571.0,716646.0,Short-haul flight,06-03-2020 15:26:00,06-03-2020 16:42:11
239075472,a319,St. Petersburg,Kaliningrad,"[59.80028, 30.2625]","[54.89, 20.5925]",10.41002948744056,0.042899867589665526,5290.0,816682.0,Short-haul flight,06-03-2020 15:20:50,06-03-2020 16:49:00
239075475,a20n,Lisbon,Rome,"[38.77417, -9.13417]","[41.80028, 12.23889]",30.414996983569274,0.14700378580987017,10013.0,1970899.0,Short-haul flight,06-03-2020 15:40:00,06-03-2020 18:26:53
239075476,e75l,Amsterdam,Nuremberg,"[52.30806, 4.76417]","[49.49861, 11.07806]",7.9220079106291665,0.030735600862422316,4184.0,608505.0,Short-haul flight,06-03-2020 15:25:19,06-03-2020 16:35:03
239075477,b738,Berlin,Kraków,"[52.55972, 13.28778]","[50.07778, 19.78472]",11.85302863562066,0.07428260155468128,3895.0,569068.0,Short-haul flight,06-03-2020 15:24:00,06-03-2020 16:28:55
239075479,a319,Barcelona,Liverpool,"[41.29695, 2.07833]","[53.33361, -2.84972]",21.260893885456422,0.08516472744158898,9636.0,1492035.0,Short-haul flight,06-03-2020 15:19:00,06-03-2020 17:59:36
239075480,a320,Marrakech,Frankfurt am Main,"[31.60861, -8.04083]","[50.03333, 8.57056]",33.128518379925715,0.16791551131581595,12958.0,2775497.0,Short-haul flight,06-03-2020 15:19:00,06-03-2020 18:54:58
239075482,b738,Banjul,Amsterdam,"[13.3425, -16.65778]","[52.30806, 4.76417]",62.50441594557855,0.30050787549268404,22828.0,4867336.0,Short-haul flight,06-03-2020 15:38:41,06-03-2020 21:59:09
239075483,e195,Verona,Munich,"[45.39639, 10.88778]","[48.35389, 11.78611]",10.678924337127059,0.05449879704179184,3474.0,407817.0,Short-haul flight,06-03-2020 15:17:00,06-03-2020 16:14:54
239075485,e190,Amsterdam,London,"[52.30806, 4.76417]","[51.50528, 0.05528]",8.760203108495858,0.040360692137180916,3456.0,373676.0,Short-haul flight,06-03-2020 15:26:00,06-03-2020 16:23:36
239075486,b737,Warsaw,Kraków,"[52.16583, 20.96722]","[50.07778, 19.78472]",10.090054057417753,0.069354065187829,2804.0,286583.0,Short-haul flight,06-03-2020 15:36:00,06-03-2020 16:22:44
239075487,b738,Paris,Lisbon,"[48.72333, 2.37945]","[38.77417, -9.13417]",25.761230658503155,0.14813390945345,8218.0,1591622.0,Short-haul flight,06-03-2020 15:54:00,06-03-2020 18:10:58
239075488,a320,Hamburg,Salzburg,"[53.63028, 9.98833]","[47.79445, 13.00333]",11.864058043214877,0.06790296145170759,4482.0,729092.0,Short-haul flight,06-03-2020 15:23:00,06-03-2020 16:37:42
